epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.224,2.86265,3.34747,3.96771,0.36608,0.58016,0.34528,0.13913,1.99065,2.46129,3.37735,0.0701554,0.00331606,0.00331606
2,101.438,2.52797,2.15016,3.24672,0.89098,0.80479,0.90354,0.57397,1.49047,1.37034,2.34933,0.0401225,0.00661648,0.00661648
3,148.64,1.51258,1.30492,2.24767,0.97723,0.9667,0.98547,0.78796,0.80318,0.92311,1.53826,0.0100566,0.0098839,0.0098839
4,195.355,0.97597,0.85458,1.66749,0.98753,0.98284,0.98769,0.88121,0.54721,0.53205,1.197,0.0098515,0.0098515,0.0098515
5,242.305,0.78762,0.67141,1.45333,0.98826,0.98879,0.98729,0.88736,0.47826,0.43615,1.1013,0.009802,0.009802,0.009802
6,289.214,0.68316,0.57288,1.33537,0.98741,0.988,0.98583,0.89663,0.44375,0.38294,1.0585,0.0097525,0.0097525,0.0097525
7,336.404,0.63685,0.50774,1.28041,0.99106,0.99118,0.98785,0.90497,0.4366,0.35271,1.05215,0.009703,0.009703,0.009703
8,383.554,0.60642,0.47432,1.24892,0.98871,0.99205,0.99012,0.91836,0.40721,0.31702,1.01434,0.0096535,0.0096535,0.0096535
9,430.717,0.57414,0.44429,1.21527,0.99067,0.99047,0.98653,0.9212,0.37978,0.30193,0.9914,0.009604,0.009604,0.009604
10,477.772,0.56614,0.4242,1.20666,0.99036,0.99087,0.99001,0.92515,0.37731,0.28325,0.98537,0.0095545,0.0095545,0.0095545
11,524.718,0.55227,0.4111,1.19306,0.99099,0.99134,0.99089,0.92592,0.38584,0.27531,0.98992,0.009505,0.009505,0.009505
12,571.769,0.53547,0.39959,1.17265,0.98896,0.99212,0.98714,0.92856,0.37035,0.27974,0.97888,0.0094555,0.0094555,0.0094555
13,618.908,0.5311,0.39011,1.16854,0.99011,0.99134,0.98762,0.93011,0.36043,0.25116,0.96924,0.009406,0.009406,0.009406
14,666.179,0.52105,0.37937,1.15867,0.99023,0.99218,0.98635,0.92947,0.35946,0.26899,0.96927,0.0093565,0.0093565,0.0093565
15,713.436,0.51549,0.37747,1.15348,0.99111,0.992,0.98883,0.932,0.36231,0.24911,0.96057,0.009307,0.009307,0.009307
16,760.766,0.50692,0.3642,1.14186,0.99096,0.99309,0.98825,0.93845,0.34668,0.24599,0.95642,0.0092575,0.0092575,0.0092575
17,807.913,0.50168,0.36172,1.13691,0.99081,0.99308,0.98694,0.93492,0.35266,0.24292,0.95796,0.009208,0.009208,0.009208
18,855.328,0.49735,0.35798,1.13446,0.98961,0.99204,0.98914,0.93604,0.35569,0.23806,0.95613,0.0091585,0.0091585,0.0091585
19,902.565,0.49584,0.35379,1.13149,0.99135,0.99288,0.98769,0.93939,0.34042,0.23086,0.95201,0.009109,0.009109,0.009109
